,Datetime,Class A,Class B
390,1365712200,5291,723
391,1365798600,5854,1035
392,1365885000,4379,750
393,1365971400,4938,1067
394,1366057800,5129,1161
395,1366144200,5312,1085
396,1366230600,7202,1003
397,1366317000,5461,783
398,1366403400,4913,1129
399,1366489800,5132,1292
400,1366576200,5169,1244
401,1366662600,5051,1267
402,1366749000,5738,1184
403,1366835400,7428,1132
404,1366921800,6167,934
405,1367008200,5210,1283
406,1367094600,5406,1347
407,1367181000,5419,1350
408,1367267400,5174,1314
409,1367353800,5734,1215
410,1367440200,7722,1157
411,1367526600,5996,908
412,1367613000,5183,1217
413,1367699400,5251,1319
414,1367785800,5119,1195
415,1367872200,5180,1319
416,1367958600,5439,1263
417,1368045000,7185,1207
418,1368131400,5791,965
419,1368217800,4948,1295
420,1368304200,5209,1306
421,1368390600,5345,1242
422,1368477000,5127,1348
423,1368563400,5699,1310
424,1368649800,7129,1216
425,1368736200,5457,958
426,1368822600,5080,1348
427,1368909000,5165,1372
428,1368995400,5167,1351
429,1369081800,5243,1254
430,1369168200,5503,1222
431,1369254600,7403,1118
432,1369341000,5762,743
433,1369427400,5313,1191
434,1369513800,4969,1208
435,1369600200,5236,1217
436,1369686600,5399,1228
437,1369773000,5535,1278
438,1369859400,7249,1143
439,1369945800,5585,931
440,1370032200,5459,1251
441,1370118600,5784,1324
442,1370205000,7660,1252
443,1370291400,7409,1242
444,1370377800,5440,957
445,1370464200,6943,980
446,1370550600,6455,776
447,1370637000,5440,1168
448,1370723400,5395,1228
449,1370809800,5468,1197
450,1370896200,5229,1184
451,1370982600,5804,1182
452,1371069000,4945,637
453,1371155400,5609,826
454,1371241800,4852,1244
455,1371328200,5063,1282
456,1371414600,5047,1124
457,1371501000,5165,1206
458,1371587400,5444,1131
459,1371673800,7763,990
460,1371760200,6007,805
461,1371846600,5635,1153
462,1371933000,6523,1209
463,1372019400,5484,1024
464,1372105800,5360,1254
465,1372192200,5589,1227
466,1372278600,7966,1121
467,1372365000,6320,935
468,1372451400,4966,1063
469,1372537800,4723,1065
470,1372624200,5648,1228
471,1372710600,5516,1209
472,1372797000,5861,1199
473,1372883400,8533,1077
474,1372969800,7085,776
475,1373056200,5593,1235
476,1373142600,5813,1147
477,1373229000,5992,1173
478,1373315400,5721,1148
479,1373401800,4800,1083
480,1373488200,6145,1051
481,1373574600,4147,679
482,1373661000,4753,1072
483,1373747400,4634,1134
484,1373833800,4796,1084
485,1373920200,4739,1049
486,1374006600,4977,1083
487,1374093000,7028,1010
488,1374179400,4217,723
489,1374265800,4712,1107
490,1374352200,4922,1055
491,1374438600,4752,1057
492,1374525000,4026,927
493,1374611400,5006,1076
494,1374697800,6793,992
495,1374784200,4375,831
496,1374870600,4931,1059
497,1374957000,4622,1130
498,1375043400,5980,990
